Product_Id,Product_Name,Category,Discounted_Price,Actual_Price,Discount_Percentage,Rating,Rating_Count,User_Name,Main_Division,Sub_Division,rating_score
B07CD2BN46,Xiaomi Mi Wired in Ear Earphones with Mic Basic with Ultra Deep Bass & Aluminum Alloy Sound Chamber (Black),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",429.0,599.0,28,4.1,119466.0,"Kishor Patro,NOORUL RILWAN,Amazon Customer,Surjith k v,Khushbu,Anand Nishad,Sunidhi,Mwnzil brahma",Electronics,In-Ear,Above Average
B07PLHTTB4,Zodo 8. 5 inch LCD E-Writer Electronic Writing Pad/Tablet Drawing Board (Paperless Memo Digital Tablet),"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",100.0,499.0,80,3.5,9638.0,"vasanth,Hemant Ghengat,Gopal,ANUKUMAR S L,Manoj Kumar,Habs,Abdul,Farha",Computers & Accessories,GraphicTablets,Average
B077T3BG5L,Zebronics ZEB-KM2100 Multimedia USB Keyboard Comes with 114 Keys Including 12 Dedicated Multimedia Keys & with Rupee Key,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",329.0,399.0,18,3.6,33735.0,"Sagarjit,balvant ghanekar,rohit,NATESA PILLAI RAJARAMAN,abhilash,Vikas Shukla,Lucifer,chandran",Computers & Accessories,Keyboards,Average
B079Y6JZC8,"ZEBRONICS Zeb-Comfort Wired USB Mouse, 3-Button, 1000 DPI Optical Sensor, Plug & Play, for Windows/Mac, Black","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",139.0,299.0,54,3.8,3044.0,"Saikat Chakravorty,Rajasekar K,Sankar Ganesh,Sivakumar K,Ritu Singh,Subrata,Bishwa paul,amazon user",Computers & Accessories,Mice,Average
B0856HNMR7,"boAt Rockerz 370 On Ear Bluetooth Headphones with Upto 12 Hours Playtime, Cozy Padded Earcups and Bluetooth v5.0, with Mic (Buoyant Black)","Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",1199.0,2499.0,52,4.0,33584.0,"Sandeep K.,Prabha Pandey,Atif,Rahul R,Mukesh vaishnav,Adnan,Aniket,Shivam Rajput",Electronics,On-Ear,Above Average
B0B12K5BPM,"ZEBRONICS Zeb-Astra 20 Wireless BT v5.0 Portable Speaker with 10W RMS Output, TWS, 10H Backup Approx, Built in Rechargeable Battery FM Radio, AUX, mSD, USB, Call Function and Dual 52mm Drivers Multi",Electronics|HomeAudio|Speakers|BluetoothSpeakers,1049.0,2299.0,54,3.9,1779.0,"Pranav Pacholee,Divakar,ANUDEEP KUMAR SINGH,Lathip,Abhijeet Banerjee,ADINARAYANA,Rishi shukla,Dadu saikia",Electronics,BluetoothSpeakers,Average
B00LVMTA2A,Panasonic CR-2032/5BE Lithium Coin Battery - Pack of 5,Electronics|GeneralPurposeBatteries&BatteryChargers,225.0,250.0,10,4.4,26556.0,"Malik,Anil reddy,Sunil,Swamy,Athish,Vasanth Kumar U,T.Srinivasa rao,Jay Ravasa",Electronics,GeneralPurposeBatteries&BatteryChargers,Above Average
B07TR5HSR9,MemeHo® Smart Standard Multi-Purpose Laptop Table with Dock Stand/Study Table/Bed Table/Foldable and Portable/Ergonomic & Rounded Edges/Non-Slip Legs/Engineered Wood with Cup Holder (Black),Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,656.0,1499.0,56,4.3,25903.0,"soma sekhar,Shreeg91,Jagadish,Zinal Bhatt,Amazon Customer,Ashutosh,Madhura,Dineshkumar",Computers & Accessories,Lapdesks,Above Average
B0819ZZK5K,"SanDisk Ultra Dual Drive Go USB Type C Pendrive for Mobile (Black, 128 GB, 5Y - SDDDC3-128G-I35)",Computers&Accessories|ExternalDevices&DataStorage|PenDrives,1109.0,2800.0,60,4.3,53464.0,"Amita,Ganesh,zhiv,Sarasij Pal,ज्ञानेंद्र सिंह,Ehsan Ul Haq,Venkatesan,Khimanand",Computers & Accessories,PenDrives,Above Average
B08QJJCY2Q,"Tizum Mouse Pad/ Computer Mouse Mat with Anti-Slip Rubber Base | Smooth Mouse Control | Spill-Resistant Surface for Laptop, Notebook, MacBook, Gaming, Laser/ Optical Mouse, 9.4”x 7.9”, Multicolored","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",169.0,299.0,43,4.4,5176.0,"Divya Nancy,Jay Mishra,Md Kalim,Saktyy,Venkat goud,Amazon Customer,Rahul Guha,Murugan",Computers & Accessories,MousePads,Above Average
